Region,Basin,BasinScale,Constituent,Reduction,Units
BM,Baffle,Basin_35,DIN,3.913669388566632e-15,t/yr
BM,Burnett,Basin_35,DIN,0.0002839004060945437,t/yr
BM,Burrum,Basin_35,DIN,1.2107299048021976e-05,t/yr
BM,Kolan,Basin_35,DIN,9.050777744871965e-05,t/yr
BM,Mary,Basin_35,DIN,9.22890800817792e-14,t/yr
BU,Black,Basin_35,DIN,0.0,t/yr
BU,Burdekin,Basin_35,DIN,0.0014751577173034776,t/yr
BU,Don,Basin_35,DIN,-5.140141941713712e-13,t/yr
BU,Haughton,Basin_35,DIN,0.0011877094832454078,t/yr
BU,Ross,Basin_35,DIN,0.0,t/yr
CY,Endeavour,Basin_35,DIN,0.0,t/yr
CY,Jacky Jacky,Basin_35,DIN,0.0,t/yr
CY,Jeannie,Basin_35,DIN,0.0,t/yr
CY,Lockhart,Basin_35,DIN,0.0,t/yr
CY,Normanby,Basin_35,DIN,0.0,t/yr
CY,Olive Pascoe,Basin_35,DIN,0.0,t/yr
CY,Stewart,Basin_35,DIN,0.0,t/yr
FI,Boyne,Basin_35,DIN,0.0,t/yr
FI,Calliope,Basin_35,DIN,0.0,t/yr
FI,Fitzroy,Basin_35,DIN,0.0,t/yr
FI,Shoalwater,Basin_35,DIN,0.0,t/yr
FI,Styx,Basin_35,DIN,0.0,t/yr
FI,Water Park,Basin_35,DIN,0.0,t/yr
MW,O-Connell,Basin_35,DIN,2.9416588807480557e-05,t/yr
MW,Pioneer,Basin_35,DIN,1.1126589131754372e-05,t/yr
MW,Plane,Basin_35,DIN,6.8454993661706e-05,t/yr
MW,Proserpine,Basin_35,DIN,-2.7775652653374057e-05,t/yr
WT,Barron,Basin_35,DIN,7.28330824830664e-05,t/yr
WT,Daintree,Basin_35,DIN,0.0,t/yr
WT,Herbert,Basin_35,DIN,0.00037999156111156177,t/yr
WT,Johnstone,Basin_35,DIN,0.001654947044054802,t/yr
WT,Mossman,Basin_35,DIN,0.0,t/yr
WT,Mulgrave-Russell,Basin_35,DIN,0.0004687179267878037,t/yr
WT,Murray,Basin_35,DIN,0.00028647021902465327,t/yr
WT,Tully,Basin_35,DIN,0.00033337158822979897,t/yr
BM,Baffle,Basin_35,DIP,2.059389695811357e-14,t/yr
BM,Burnett,Basin_35,DIP,-1.9491845174949656e-14,t/yr
BM,Burrum,Basin_35,DIP,1.0334192760789544e-14,t/yr
BM,Kolan,Basin_35,DIP,3.685229899019759e-15,t/yr
BM,Mary,Basin_35,DIP,2.8856087889532015e-14,t/yr
BU,Black,Basin_35,DIP,0.0,t/yr
BU,Burdekin,Basin_35,DIP,-4.2032725213137686e-07,t/yr
BU,Don,Basin_35,DIP,0.0,t/yr
BU,Haughton,Basin_35,DIP,0.0,t/yr
BU,Ross,Basin_35,DIP,0.0,t/yr
CY,Endeavour,Basin_35,DIP,0.0,t/yr
CY,Jacky Jacky,Basin_35,DIP,0.0,t/yr
CY,Jeannie,Basin_35,DIP,0.0,t/yr
CY,Lockhart,Basin_35,DIP,0.0,t/yr
CY,Normanby,Basin_35,DIP,0.0,t/yr
CY,Olive Pascoe,Basin_35,DIP,0.0,t/yr
CY,Stewart,Basin_35,DIP,0.0,t/yr
FI,Boyne,Basin_35,DIP,0.0,t/yr
FI,Calliope,Basin_35,DIP,0.0,t/yr
FI,Fitzroy,Basin_35,DIP,0.0006369748213744212,t/yr
FI,Shoalwater,Basin_35,DIP,0.0,t/yr
FI,Styx,Basin_35,DIP,0.0,t/yr
FI,Water Park,Basin_35,DIP,0.0,t/yr
MW,O-Connell,Basin_35,DIP,0.0,t/yr
MW,Pioneer,Basin_35,DIP,0.0,t/yr
MW,Plane,Basin_35,DIP,0.0,t/yr
MW,Proserpine,Basin_35,DIP,0.0,t/yr
WT,Barron,Basin_35,DIP,0.0,t/yr
WT,Daintree,Basin_35,DIP,0.0,t/yr
WT,Herbert,Basin_35,DIP,0.0,t/yr
WT,Johnstone,Basin_35,DIP,5.307488962127139e-06,t/yr
WT,Mossman,Basin_35,DIP,0.0,t/yr
WT,Mulgrave-Russell,Basin_35,DIP,0.0,t/yr
WT,Murray,Basin_35,DIP,0.0,t/yr
WT,Tully,Basin_35,DIP,7.118659059533645e-08,t/yr
BM,Baffle,Basin_35,DON,3.5983778919520165e-13,t/yr
BM,Burnett,Basin_35,DON,2.980035181584147e-13,t/yr
BM,Burrum,Basin_35,DON,1.6859094860895614e-13,t/yr
BM,Kolan,Basin_35,DON,5.962779899467326e-14,t/yr
BM,Mary,Basin_35,DON,4.3161207941011526e-13,t/yr
BU,Black,Basin_35,DON,0.0,t/yr
BU,Burdekin,Basin_35,DON,0.0,t/yr
BU,Don,Basin_35,DON,0.0,t/yr
BU,Haughton,Basin_35,DON,0.0,t/yr
BU,Ross,Basin_35,DON,0.0,t/yr
CY,Endeavour,Basin_35,DON,0.0,t/yr
CY,Jacky Jacky,Basin_35,DON,0.0,t/yr
CY,Jeannie,Basin_35,DON,0.0,t/yr
CY,Lockhart,Basin_35,DON,0.0,t/yr
CY,Normanby,Basin_35,DON,0.0,t/yr
CY,Olive Pascoe,Basin_35,DON,0.0,t/yr
CY,Stewart,Basin_35,DON,0.0,t/yr
FI,Boyne,Basin_35,DON,0.0,t/yr
FI,Calliope,Basin_35,DON,0.0,t/yr
FI,Fitzroy,Basin_35,DON,0.0,t/yr
FI,Shoalwater,Basin_35,DON,0.0,t/yr
FI,Styx,Basin_35,DON,0.0,t/yr
FI,Water Park,Basin_35,DON,0.0,t/yr
MW,O-Connell,Basin_35,DON,0.0,t/yr
MW,Pioneer,Basin_35,DON,0.0,t/yr
MW,Plane,Basin_35,DON,0.0,t/yr
MW,Proserpine,Basin_35,DON,0.0,t/yr
WT,Barron,Basin_35,DON,0.0,t/yr
WT,Daintree,Basin_35,DON,0.0,t/yr
WT,Herbert,Basin_35,DON,0.0,t/yr
WT,Johnstone,Basin_35,DON,0.0,t/yr
WT,Mossman,Basin_35,DON,0.0,t/yr
WT,Mulgrave-Russell,Basin_35,DON,0.0,t/yr
WT,Murray,Basin_35,DON,0.0,t/yr
WT,Tully,Basin_35,DON,0.0,t/yr
BM,Baffle,Basin_35,DOP,-1.4439116569064934e-14,t/yr
BM,Burnett,Basin_35,DOP,-1.0525980087550125e-14,t/yr
BM,Burrum,Basin_35,DOP,2.3669954885008338e-15,t/yr
BM,Kolan,Basin_35,DOP,-1.4689878942893606e-15,t/yr
BM,Mary,Basin_35,DOP,1.1586583544461367e-15,t/yr
BU,Black,Basin_35,DOP,0.0,t/yr
BU,Burdekin,Basin_35,DOP,-4.2032725213137686e-07,t/yr
BU,Don,Basin_35,DOP,0.0,t/yr
BU,Haughton,Basin_35,DOP,0.0,t/yr
BU,Ross,Basin_35,DOP,0.0,t/yr
CY,Endeavour,Basin_35,DOP,0.0,t/yr
CY,Jacky Jacky,Basin_35,DOP,0.0,t/yr
CY,Jeannie,Basin_35,DOP,0.0,t/yr
CY,Lockhart,Basin_35,DOP,0.0,t/yr
CY,Normanby,Basin_35,DOP,0.0,t/yr
CY,Olive Pascoe,Basin_35,DOP,0.0,t/yr
CY,Stewart,Basin_35,DOP,0.0,t/yr
FI,Boyne,Basin_35,DOP,0.0,t/yr
FI,Calliope,Basin_35,DOP,0.0,t/yr
FI,Fitzroy,Basin_35,DOP,0.00015924370534360434,t/yr
FI,Shoalwater,Basin_35,DOP,0.0,t/yr
FI,Styx,Basin_35,DOP,0.0,t/yr
FI,Water Park,Basin_35,DOP,0.0,t/yr
MW,O-Connell,Basin_35,DOP,0.0,t/yr
MW,Pioneer,Basin_35,DOP,0.0,t/yr
MW,Plane,Basin_35,DOP,0.0,t/yr
MW,Proserpine,Basin_35,DOP,0.0,t/yr
WT,Barron,Basin_35,DOP,0.0,t/yr
WT,Daintree,Basin_35,DOP,0.0,t/yr
WT,Herbert,Basin_35,DOP,0.0,t/yr
WT,Johnstone,Basin_35,DOP,6.451861724594228e-06,t/yr
WT,Mossman,Basin_35,DOP,0.0,t/yr
WT,Mulgrave-Russell,Basin_35,DOP,0.0,t/yr
WT,Murray,Basin_35,DOP,0.0,t/yr
WT,Tully,Basin_35,DOP,2.37288635318104e-07,t/yr
BM,Baffle,Basin_35,FS,3.7932376115534796e-10,kt/yr
BM,Burnett,Basin_35,FS,4.450965696416157e-08,kt/yr
BM,Burrum,Basin_35,FS,2.21529883116105e-09,kt/yr
BM,Kolan,Basin_35,FS,2.955243639774352e-09,kt/yr
BM,Mary,Basin_35,FS,8.243927282395949e-07,kt/yr
BU,Black,Basin_35,FS,1.3824758943078071e-11,kt/yr
BU,Burdekin,Basin_35,FS,1.5487904057273833e-06,kt/yr
BU,Don,Basin_35,FS,3.538020961615682e-08,kt/yr
BU,Haughton,Basin_35,FS,5.8302920676630284e-08,kt/yr
BU,Ross,Basin_35,FS,7.218950645992095e-09,kt/yr
CY,Endeavour,Basin_35,FS,1.740461711156769e-08,kt/yr
CY,Jacky Jacky,Basin_35,FS,0.0,kt/yr
CY,Jeannie,Basin_35,FS,0.0,kt/yr
CY,Lockhart,Basin_35,FS,0.0,kt/yr
CY,Normanby,Basin_35,FS,3.906131873145568e-09,kt/yr
CY,Olive Pascoe,Basin_35,FS,0.0,kt/yr
CY,Stewart,Basin_35,FS,0.0,kt/yr
FI,Boyne,Basin_35,FS,5.5414401724599806e-11,kt/yr
FI,Calliope,Basin_35,FS,2.0384507475377236e-08,kt/yr
FI,Fitzroy,Basin_35,FS,1.6527703792536918e-06,kt/yr
FI,Shoalwater,Basin_35,FS,1.304677255120623e-16,kt/yr
FI,Styx,Basin_35,FS,4.84504439115104e-10,kt/yr
FI,Water Park,Basin_35,FS,1.085867883574565e-11,kt/yr
MW,O-Connell,Basin_35,FS,2.3759489576923633e-07,kt/yr
MW,Pioneer,Basin_35,FS,9.993918586421083e-09,kt/yr
MW,Plane,Basin_35,FS,5.950292884450903e-09,kt/yr
MW,Proserpine,Basin_35,FS,1.757319465368094e-08,kt/yr
WT,Barron,Basin_35,FS,4.112672469602785e-11,kt/yr
WT,Daintree,Basin_35,FS,0.0,kt/yr
WT,Herbert,Basin_35,FS,9.073603472348093e-08,kt/yr
WT,Johnstone,Basin_35,FS,6.1731104085633126e-09,kt/yr
WT,Mossman,Basin_35,FS,0.0,kt/yr
WT,Mulgrave-Russell,Basin_35,FS,1.5304860349255971e-09,kt/yr
WT,Murray,Basin_35,FS,2.024701941621743e-09,kt/yr
WT,Tully,Basin_35,FS,6.195104959033415e-10,kt/yr
BM,Baffle,Basin_35,PN,9.702588870202552e-07,t/yr
BM,Burnett,Basin_35,PN,0.00023505771995099468,t/yr
BM,Burrum,Basin_35,PN,1.5165641174116948e-05,t/yr
BM,Kolan,Basin_35,PN,3.765134841699099e-05,t/yr
BM,Mary,Basin_35,PN,0.0013337635937111221,t/yr
BU,Black,Basin_35,PN,1.3422997938382272e-07,t/yr
BU,Burdekin,Basin_35,PN,0.0030268796327853125,t/yr
BU,Don,Basin_35,PN,0.00012611775347836176,t/yr
BU,Haughton,Basin_35,PN,0.00029226257655308625,t/yr
BU,Ross,Basin_35,PN,1.7192910025743422e-05,t/yr
CY,Endeavour,Basin_35,PN,1.2783514807724334e-05,t/yr
CY,Jacky Jacky,Basin_35,PN,0.0,t/yr
CY,Jeannie,Basin_35,PN,0.0,t/yr
CY,Lockhart,Basin_35,PN,0.0,t/yr
CY,Normanby,Basin_35,PN,6.861872424747162e-06,t/yr
CY,Olive Pascoe,Basin_35,PN,0.0,t/yr
CY,Stewart,Basin_35,PN,0.0,t/yr
FI,Boyne,Basin_35,PN,4.19923147372477e-07,t/yr
FI,Calliope,Basin_35,PN,0.00010135761420172191,t/yr
FI,Fitzroy,Basin_35,PN,0.004146001413719902,t/yr
FI,Shoalwater,Basin_35,PN,6.749156492939316e-13,t/yr
FI,Styx,Basin_35,PN,2.99925830012171e-06,t/yr
FI,Water Park,Basin_35,PN,3.649807700062032e-08,t/yr
MW,O-Connell,Basin_35,PN,0.0006247156286275034,t/yr
MW,Pioneer,Basin_35,PN,0.00010935643426480321,t/yr
MW,Plane,Basin_35,PN,0.00016860141002647804,t/yr
MW,Proserpine,Basin_35,PN,2.9626939625021955e-05,t/yr
WT,Barron,Basin_35,PN,1.9979510460264767e-07,t/yr
WT,Daintree,Basin_35,PN,0.0,t/yr
WT,Herbert,Basin_35,PN,0.0002473443753491438,t/yr
WT,Johnstone,Basin_35,PN,5.1144932323139376e-05,t/yr
WT,Mossman,Basin_35,PN,0.0,t/yr
WT,Mulgrave-Russell,Basin_35,PN,8.745239364001615e-06,t/yr
WT,Murray,Basin_35,PN,2.0297235469085232e-05,t/yr
WT,Tully,Basin_35,PN,6.154322612114053e-06,t/yr
BM,Baffle,Basin_35,PP,2.357926096043646e-07,t/yr
BM,Burnett,Basin_35,PP,5.528432697097969e-05,t/yr
BM,Burrum,Basin_35,PP,8.283361614601858e-06,t/yr
BM,Kolan,Basin_35,PP,1.1732801213857159e-05,t/yr
BM,Mary,Basin_35,PP,0.0006038846475535744,t/yr
BU,Black,Basin_35,PP,5.50026146890777e-08,t/yr
BU,Burdekin,Basin_35,PP,0.002423248279249644,t/yr
BU,Don,Basin_35,PP,5.270387566442594e-05,t/yr
BU,Haughton,Basin_35,PP,8.945661744420193e-05,t/yr
BU,Ross,Basin_35,PP,7.636616145710207e-06,t/yr
CY,Endeavour,Basin_35,PP,6.010453911361442e-06,t/yr
CY,Jacky Jacky,Basin_35,PP,0.0,t/yr
CY,Jeannie,Basin_35,PP,0.0,t/yr
CY,Lockhart,Basin_35,PP,0.0,t/yr
CY,Normanby,Basin_35,PP,2.499028196323631e-06,t/yr
CY,Olive Pascoe,Basin_35,PP,0.0,t/yr
CY,Stewart,Basin_35,PP,0.0,t/yr
FI,Boyne,Basin_35,PP,1.0596042360475621e-07,t/yr
FI,Calliope,Basin_35,PP,4.75649616924881e-05,t/yr
FI,Fitzroy,Basin_35,PP,0.0017768504654427943,t/yr
FI,Shoalwater,Basin_35,PP,4.116984086977027e-13,t/yr
FI,Styx,Basin_35,PP,8.130779788679377e-07,t/yr
FI,Water Park,Basin_35,PP,1.6041011885548073e-08,t/yr
MW,O-Connell,Basin_35,PP,0.00015609830632902136,t/yr
MW,Pioneer,Basin_35,PP,1.0985000316608761e-05,t/yr
MW,Plane,Basin_35,PP,8.826230206855712e-06,t/yr
MW,Proserpine,Basin_35,PP,2.3803352846218456e-05,t/yr
WT,Barron,Basin_35,PP,5.510365002692197e-08,t/yr
WT,Daintree,Basin_35,PP,0.0,t/yr
WT,Herbert,Basin_35,PP,7.324236557419491e-05,t/yr
WT,Johnstone,Basin_35,PP,1.5295762623202336e-05,t/yr
WT,Mossman,Basin_35,PP,0.0,t/yr
WT,Mulgrave-Russell,Basin_35,PP,1.129904508205944e-06,t/yr
WT,Murray,Basin_35,PP,3.0786417978016324e-06,t/yr
WT,Tully,Basin_35,PP,1.8364961416035423e-06,t/yr
