Source,MetricType,Scenario,Level,Region,Basin,FU,Constituent,Process,Units,Value
FU,FU,BASE,Region,BM,,Bananas,DIN,,report,0.0
FU,FU,BASE,Region,BM,,Conservation,DIN,,report,55.60104458258536
FU,FU,BASE,Region,BM,,Cropping,DIN,,report,16.3761993891687
FU,FU,BASE,Region,BM,,Dairy,DIN,,report,2.364005760494466
FU,FU,BASE,Region,BM,,Forestry,DIN,,report,52.18160353688084
FU,FU,BASE,Region,BM,,Grazing,DIN,,report,334.51156815629787
FU,FU,BASE,Region,BM,,Horticulture,DIN,,report,79.2533770290469
FU,FU,BASE,Region,BM,,Stream,DIN,,report,23.527353656300004
FU,FU,BASE,Region,BM,,Sugarcane,DIN,,report,190.80515378987974
FU,FU,BASE,Region,BM,,Urban + Other,DIN,,report,117.67575777532191
FU,FU,BASE,Region,BM,,Bananas,FS,,report,0.0
FU,FU,BASE,Region,BM,,Conservation,FS,,report,12.6633279700433
FU,FU,BASE,Region,BM,,Cropping,FS,,report,3.787712116529235
FU,FU,BASE,Region,BM,,Dairy,FS,,report,1.7670320248280695
FU,FU,BASE,Region,BM,,Forestry,FS,,report,9.46429965000418
FU,FU,BASE,Region,BM,,Grazing,FS,,report,189.16610343798942
FU,FU,BASE,Region,BM,,Horticulture,FS,,report,7.8706520329116865
FU,FU,BASE,Region,BM,,Stream,FS,,report,363.762472497054
FU,FU,BASE,Region,BM,,Sugarcane,FS,,report,5.185693793159532
FU,FU,BASE,Region,BM,,Urban + Other,FS,,report,13.00088518932869
FU,FU,BASE,Region,BM,,Bananas,PN,,report,0.0
FU,FU,BASE,Region,BM,,Conservation,PN,,report,68.9501485980964
FU,FU,BASE,Region,BM,,Cropping,PN,,report,2.2138826599258667
FU,FU,BASE,Region,BM,,Dairy,PN,,report,6.108291985213032
FU,FU,BASE,Region,BM,,Forestry,PN,,report,61.4698165175179
FU,FU,BASE,Region,BM,,Grazing,PN,,report,942.529220089851
FU,FU,BASE,Region,BM,,Horticulture,PN,,report,3.718914641732867
FU,FU,BASE,Region,BM,,Stream,PN,,report,433.2442303158679
FU,FU,BASE,Region,BM,,Sugarcane,PN,,report,57.320135924264704
FU,FU,BASE,Region,BM,,Urban + Other,PN,,report,5.441402259360568
FU,FU,BASE,Region,BM,,Bananas,PP,,report,0.0
FU,FU,BASE,Region,BM,,Conservation,PP,,report,26.208038404716138
FU,FU,BASE,Region,BM,,Cropping,PP,,report,1.1307461140615334
FU,FU,BASE,Region,BM,,Dairy,PP,,report,3.0634297638364334
FU,FU,BASE,Region,BM,,Forestry,PP,,report,17.0523961917132
FU,FU,BASE,Region,BM,,Grazing,PP,,report,318.1933401289568
FU,FU,BASE,Region,BM,,Horticulture,PP,,report,1.6628641748090836
FU,FU,BASE,Region,BM,,Stream,PP,,report,205.37331645131482
FU,FU,BASE,Region,BM,,Sugarcane,PP,,report,19.074820374176667
FU,FU,BASE,Region,BM,,Urban + Other,PP,,report,2.3349978968849667
FU,FU,BASE,Region,BU,,Bananas,DIN,,report,0.0
FU,FU,BASE,Region,BU,,Conservation,DIN,,report,240.26657940571502
FU,FU,BASE,Region,BU,,Cropping,DIN,,report,15.799338826161579
FU,FU,BASE,Region,BU,,Dairy,DIN,,report,0.0
FU,FU,BASE,Region,BU,,Forestry,DIN,,report,18.243724462288764
FU,FU,BASE,Region,BU,,Grazing,DIN,,report,742.545685268121
FU,FU,BASE,Region,BU,,Horticulture,DIN,,report,53.86591249898492
FU,FU,BASE,Region,BU,,Stream,DIN,,report,45.46934622466142
FU,FU,BASE,Region,BU,,Sugarcane,DIN,,report,721.9281669426533
FU,FU,BASE,Region,BU,,Urban + Other,DIN,,report,56.54481605435133
FU,FU,BASE,Region,BU,,Bananas,FS,,report,0.0
FU,FU,BASE,Region,BU,,Conservation,FS,,report,250.10034815872203
FU,FU,BASE,Region,BU,,Cropping,FS,,report,11.603686506601072
FU,FU,BASE,Region,BU,,Dairy,FS,,report,0.0
FU,FU,BASE,Region,BU,,Forestry,FS,,report,10.926104924655561
FU,FU,BASE,Region,BU,,Grazing,FS,,report,2952.5703128526225
FU,FU,BASE,Region,BU,,Horticulture,FS,,report,10.714910163711808
FU,FU,BASE,Region,BU,,Stream,FS,,report,163.0069735427139
FU,FU,BASE,Region,BU,,Sugarcane,FS,,report,25.07021327625916
FU,FU,BASE,Region,BU,,Urban + Other,FS,,report,15.293196587213687
FU,FU,BASE,Region,BU,,Bananas,PN,,report,0.0
FU,FU,BASE,Region,BU,,Conservation,PN,,report,543.6533833755582
FU,FU,BASE,Region,BU,,Cropping,PN,,report,22.50812187042516
FU,FU,BASE,Region,BU,,Dairy,PN,,report,0.0
FU,FU,BASE,Region,BU,,Forestry,PN,,report,32.53138450599805
FU,FU,BASE,Region,BU,,Grazing,PN,,report,3356.653359202748
FU,FU,BASE,Region,BU,,Horticulture,PN,,report,7.102100266871939
FU,FU,BASE,Region,BU,,Stream,PN,,report,149.2894515667824
FU,FU,BASE,Region,BU,,Sugarcane,PN,,report,114.86761213678803
FU,FU,BASE,Region,BU,,Urban + Other,PN,,report,16.475822432049185
FU,FU,BASE,Region,BU,,Bananas,PP,,report,0.0
FU,FU,BASE,Region,BU,,Conservation,PP,,report,227.21391835104325
FU,FU,BASE,Region,BU,,Cropping,PP,,report,22.498603391556284
FU,FU,BASE,Region,BU,,Dairy,PP,,report,0.0
FU,FU,BASE,Region,BU,,Forestry,PP,,report,18.44400992874957
FU,FU,BASE,Region,BU,,Grazing,PP,,report,2261.9557279849646
FU,FU,BASE,Region,BU,,Horticulture,PP,,report,7.821086316607684
FU,FU,BASE,Region,BU,,Stream,PP,,report,146.93736540628964
FU,FU,BASE,Region,BU,,Sugarcane,PP,,report,39.7340221873985
FU,FU,BASE,Region,BU,,Urban + Other,PP,,report,8.493966395101063
FU,FU,BASE,Region,CY,,Bananas,DIN,,report,3.6522224126001217
FU,FU,BASE,Region,CY,,Conservation,DIN,,report,361.1096383068796
FU,FU,BASE,Region,CY,,Cropping,DIN,,report,0.6102473517071841
FU,FU,BASE,Region,CY,,Dairy,DIN,,report,0.0
FU,FU,BASE,Region,CY,,Forestry,DIN,,report,0.8918204701045362
FU,FU,BASE,Region,CY,,Grazing,DIN,,report,151.43183208644848
FU,FU,BASE,Region,CY,,Horticulture,DIN,,report,0.8063754490593724
FU,FU,BASE,Region,CY,,Stream,DIN,,report,0.11350671033338801
FU,FU,BASE,Region,CY,,Sugarcane,DIN,,report,0.0
FU,FU,BASE,Region,CY,,Urban + Other,DIN,,report,10.167717248323184
FU,FU,BASE,Region,CY,,Bananas,FS,,report,0.03350363868586797
FU,FU,BASE,Region,CY,,Conservation,FS,,report,271.1807435979677
FU,FU,BASE,Region,CY,,Cropping,FS,,report,0.9113424637330999
FU,FU,BASE,Region,CY,,Dairy,FS,,report,0.0
FU,FU,BASE,Region,CY,,Forestry,FS,,report,0.8501550931308915
FU,FU,BASE,Region,CY,,Grazing,FS,,report,90.13856470022077
FU,FU,BASE,Region,CY,,Horticulture,FS,,report,0.09892078653438359
FU,FU,BASE,Region,CY,,Stream,FS,,report,31.946958316422972
FU,FU,BASE,Region,CY,,Sugarcane,FS,,report,0.0
FU,FU,BASE,Region,CY,,Urban + Other,FS,,report,1.4893620620902792
FU,FU,BASE,Region,CY,,Bananas,PN,,report,0.0
FU,FU,BASE,Region,CY,,Conservation,PN,,report,1294.0626404010045
FU,FU,BASE,Region,CY,,Cropping,PN,,report,0.2536560782818603
FU,FU,BASE,Region,CY,,Dairy,PN,,report,0.0
FU,FU,BASE,Region,CY,,Forestry,PN,,report,5.560854991069392
FU,FU,BASE,Region,CY,,Grazing,PN,,report,351.67811712320884
FU,FU,BASE,Region,CY,,Horticulture,PN,,report,0.036450955783329374
FU,FU,BASE,Region,CY,,Stream,PN,,report,23.426803732017508
FU,FU,BASE,Region,CY,,Sugarcane,PN,,report,0.0
FU,FU,BASE,Region,CY,,Urban + Other,PN,,report,0.3462407063169584
FU,FU,BASE,Region,CY,,Bananas,PP,,report,0.56302044579488
FU,FU,BASE,Region,CY,,Conservation,PP,,report,420.09641576152956
FU,FU,BASE,Region,CY,,Cropping,PP,,report,0.11963701487300064
FU,FU,BASE,Region,CY,,Dairy,PP,,report,0.0
FU,FU,BASE,Region,CY,,Forestry,PP,,report,2.2585718265126213
FU,FU,BASE,Region,CY,,Grazing,PP,,report,106.68071468662188
FU,FU,BASE,Region,CY,,Horticulture,PP,,report,0.015300363266537598
FU,FU,BASE,Region,CY,,Stream,PP,,report,13.034010874861043
FU,FU,BASE,Region,CY,,Sugarcane,PP,,report,0.0
FU,FU,BASE,Region,CY,,Urban + Other,PP,,report,0.12205462639492085
FU,FU,BASE,Region,FI,,Bananas,DIN,,report,0.0
FU,FU,BASE,Region,FI,,Conservation,DIN,,report,38.371167544217435
FU,FU,BASE,Region,FI,,Cropping,DIN,,report,84.7762098736726
FU,FU,BASE,Region,FI,,Dairy,DIN,,report,0.0
FU,FU,BASE,Region,FI,,Forestry,DIN,,report,90.67186703804327
FU,FU,BASE,Region,FI,,Grazing,DIN,,report,521.5199536486641
FU,FU,BASE,Region,FI,,Horticulture,DIN,,report,3.9255235801634822
FU,FU,BASE,Region,FI,,Stream,DIN,,report,50.00047462840699
FU,FU,BASE,Region,FI,,Sugarcane,DIN,,report,15.522117189224884
FU,FU,BASE,Region,FI,,Urban + Other,DIN,,report,49.586860534217045
FU,FU,BASE,Region,FI,,Bananas,FS,,report,0.0
FU,FU,BASE,Region,FI,,Conservation,FS,,report,66.12459440764928
FU,FU,BASE,Region,FI,,Cropping,FS,,report,62.78312230690547
FU,FU,BASE,Region,FI,,Dairy,FS,,report,0.0
FU,FU,BASE,Region,FI,,Forestry,FS,,report,41.59616524353398
FU,FU,BASE,Region,FI,,Grazing,FS,,report,877.1062465027502
FU,FU,BASE,Region,FI,,Horticulture,FS,,report,0.5451074563234005
FU,FU,BASE,Region,FI,,Stream,FS,,report,482.53404693811194
FU,FU,BASE,Region,FI,,Sugarcane,FS,,report,0.5955290761399368
FU,FU,BASE,Region,FI,,Urban + Other,FS,,report,11.347554264155468
FU,FU,BASE,Region,FI,,Bananas,PN,,report,0.0
FU,FU,BASE,Region,FI,,Conservation,PN,,report,244.9933917755963
FU,FU,BASE,Region,FI,,Cropping,PN,,report,348.7451615890101
FU,FU,BASE,Region,FI,,Dairy,PN,,report,0.0
FU,FU,BASE,Region,FI,,Forestry,PN,,report,151.48608198571029
FU,FU,BASE,Region,FI,,Grazing,PN,,report,1712.0206125713541
FU,FU,BASE,Region,FI,,Horticulture,PN,,report,0.26244446715313535
FU,FU,BASE,Region,FI,,Stream,PN,,report,626.7411386615634
FU,FU,BASE,Region,FI,,Sugarcane,PN,,report,3.427178162932262
FU,FU,BASE,Region,FI,,Urban + Other,PN,,report,6.663372527655294
FU,FU,BASE,Region,FI,,Bananas,PP,,report,0.0
FU,FU,BASE,Region,FI,,Conservation,PP,,report,94.54082922572336
FU,FU,BASE,Region,FI,,Cropping,PP,,report,121.54899588099047
FU,FU,BASE,Region,FI,,Dairy,PP,,report,0.0
FU,FU,BASE,Region,FI,,Forestry,PP,,report,63.187473249336826
FU,FU,BASE,Region,FI,,Grazing,PP,,report,955.5028818601724
FU,FU,BASE,Region,FI,,Horticulture,PP,,report,0.1248769809840898
FU,FU,BASE,Region,FI,,Stream,PP,,report,412.71263615496645
FU,FU,BASE,Region,FI,,Sugarcane,PP,,report,3.3453309383257968
FU,FU,BASE,Region,FI,,Urban + Other,PP,,report,4.358017646701197
FU,FU,BASE,Region,MW,,Bananas,DIN,,report,0.0
FU,FU,BASE,Region,MW,,Conservation,DIN,,report,57.513713552889136
FU,FU,BASE,Region,MW,,Cropping,DIN,,report,3.2671621767833305
FU,FU,BASE,Region,MW,,Dairy,DIN,,report,0.0
FU,FU,BASE,Region,MW,,Forestry,DIN,,report,14.735897611629582
FU,FU,BASE,Region,MW,,Grazing,DIN,,report,193.86670367641935
FU,FU,BASE,Region,MW,,Horticulture,DIN,,report,7.086538039934509
FU,FU,BASE,Region,MW,,Stream,DIN,,report,18.972628988987267
FU,FU,BASE,Region,MW,,Sugarcane,DIN,,report,397.5758409633382
FU,FU,BASE,Region,MW,,Urban + Other,DIN,,report,84.39721203553435
FU,FU,BASE,Region,MW,,Bananas,FS,,report,0.0
FU,FU,BASE,Region,MW,,Conservation,FS,,report,13.58133413525257
FU,FU,BASE,Region,MW,,Cropping,FS,,report,0.537751774026851
FU,FU,BASE,Region,MW,,Dairy,FS,,report,0.0
FU,FU,BASE,Region,MW,,Forestry,FS,,report,2.8179013095777132
FU,FU,BASE,Region,MW,,Grazing,FS,,report,44.53013449191906
FU,FU,BASE,Region,MW,,Horticulture,FS,,report,1.1713611507508481
FU,FU,BASE,Region,MW,,Stream,FS,,report,331.82840143931554
FU,FU,BASE,Region,MW,,Sugarcane,FS,,report,20.422224956931743
FU,FU,BASE,Region,MW,,Urban + Other,FS,,report,13.918277896188291
FU,FU,BASE,Region,MW,,Bananas,PN,,report,0.0
FU,FU,BASE,Region,MW,,Conservation,PN,,report,180.3233519278101
FU,FU,BASE,Region,MW,,Cropping,PN,,report,0.30956432797302286
FU,FU,BASE,Region,MW,,Dairy,PN,,report,0.0
FU,FU,BASE,Region,MW,,Forestry,PN,,report,54.700963931705665
FU,FU,BASE,Region,MW,,Grazing,PN,,report,608.6164408962231
FU,FU,BASE,Region,MW,,Horticulture,PN,,report,0.426906790482178
FU,FU,BASE,Region,MW,,Stream,PN,,report,479.1107827226236
FU,FU,BASE,Region,MW,,Sugarcane,PN,,report,460.60013711607223
FU,FU,BASE,Region,MW,,Urban + Other,PN,,report,0.0
FU,FU,BASE,Region,MW,,Bananas,PP,,report,0.0
FU,FU,BASE,Region,MW,,Conservation,PP,,report,48.79917303799344
FU,FU,BASE,Region,MW,,Cropping,PP,,report,0.06268074006844766
FU,FU,BASE,Region,MW,,Dairy,PP,,report,0.0
FU,FU,BASE,Region,MW,,Forestry,PP,,report,14.11765142516044
FU,FU,BASE,Region,MW,,Grazing,PP,,report,120.52508189616768
FU,FU,BASE,Region,MW,,Horticulture,PP,,report,0.13858908458389316
FU,FU,BASE,Region,MW,,Stream,PP,,report,197.74443249102706
FU,FU,BASE,Region,MW,,Sugarcane,PP,,report,43.54655395512709
FU,FU,BASE,Region,MW,,Urban + Other,PP,,report,0.0
FU,FU,BASE,Region,WT,,Bananas,DIN,,report,667.3843816003063
FU,FU,BASE,Region,WT,,Conservation,DIN,,report,988.0679670357937
FU,FU,BASE,Region,WT,,Cropping,DIN,,report,15.322658384796963
FU,FU,BASE,Region,WT,,Dairy,DIN,,report,16.17480810714464
FU,FU,BASE,Region,WT,,Forestry,DIN,,report,62.940517759097084
FU,FU,BASE,Region,WT,,Grazing,DIN,,report,409.9027654767065
FU,FU,BASE,Region,WT,,Horticulture,DIN,,report,29.669907081168954
FU,FU,BASE,Region,WT,,Stream,DIN,,report,50.81750468173047
FU,FU,BASE,Region,WT,,Sugarcane,DIN,,report,2007.324476379564
FU,FU,BASE,Region,WT,,Urban + Other,DIN,,report,118.81476878361876
FU,FU,BASE,Region,WT,,Bananas,FS,,report,7.290956435002899
FU,FU,BASE,Region,WT,,Conservation,FS,,report,274.4043733562967
FU,FU,BASE,Region,WT,,Cropping,FS,,report,20.181243788356937
FU,FU,BASE,Region,WT,,Dairy,FS,,report,8.584798799268503
FU,FU,BASE,Region,WT,,Forestry,FS,,report,17.923539544470337
FU,FU,BASE,Region,WT,,Grazing,FS,,report,239.5888448931888
FU,FU,BASE,Region,WT,,Horticulture,FS,,report,22.35009162384256
FU,FU,BASE,Region,WT,,Stream,FS,,report,524.7585941812542
FU,FU,BASE,Region,WT,,Sugarcane,FS,,report,68.07207777984144
FU,FU,BASE,Region,WT,,Urban + Other,FS,,report,12.2383043965339
FU,FU,BASE,Region,WT,,Bananas,PN,,report,38.58358604712525
FU,FU,BASE,Region,WT,,Conservation,PN,,report,2354.5641656361504
FU,FU,BASE,Region,WT,,Cropping,PN,,report,55.80678594970276
FU,FU,BASE,Region,WT,,Dairy,PN,,report,66.84645497917168
FU,FU,BASE,Region,WT,,Forestry,PN,,report,90.54858986059617
FU,FU,BASE,Region,WT,,Grazing,PN,,report,1720.8556284391639
FU,FU,BASE,Region,WT,,Horticulture,PN,,report,64.07635819086957
FU,FU,BASE,Region,WT,,Stream,PN,,report,639.7929294319773
FU,FU,BASE,Region,WT,,Sugarcane,PN,,report,516.7289688967727
FU,FU,BASE,Region,WT,,Urban + Other,PN,,report,38.70891426571375
FU,FU,BASE,Region,WT,,Bananas,PP,,report,32.099485054339056
FU,FU,BASE,Region,WT,,Conservation,PP,,report,364.32300130614266
FU,FU,BASE,Region,WT,,Cropping,PP,,report,29.344335044769878
FU,FU,BASE,Region,WT,,Dairy,PP,,report,29.807520084204906
FU,FU,BASE,Region,WT,,Forestry,PP,,report,14.67203493618926
FU,FU,BASE,Region,WT,,Grazing,PP,,report,437.9266951067288
FU,FU,BASE,Region,WT,,Horticulture,PP,,report,28.985689873372507
FU,FU,BASE,Region,WT,,Stream,PP,,report,380.6995240602688
FU,FU,BASE,Region,WT,,Sugarcane,PP,,report,161.59486024027717
FU,FU,BASE,Region,WT,,Urban + Other,PP,,report,8.416135526720593
FU,FU,CHANGE,Region,BM,,Bananas,DIN,,report,0.0
FU,FU,CHANGE,Region,BM,,Conservation,DIN,,report,55.611267256206354
FU,FU,CHANGE,Region,BM,,Cropping,DIN,,report,16.41601358429441
FU,FU,CHANGE,Region,BM,,Dairy,DIN,,report,2.3642865343506045
FU,FU,CHANGE,Region,BM,,Forestry,DIN,,report,52.20240594423016
FU,FU,CHANGE,Region,BM,,Grazing,DIN,,report,334.6765408178508
FU,FU,CHANGE,Region,BM,,Horticulture,DIN,,report,79.26499722140824
FU,FU,CHANGE,Region,BM,,Stream,DIN,,report,23.54414826224069
FU,FU,CHANGE,Region,BM,,Sugarcane,DIN,,report,179.72909963403498
FU,FU,CHANGE,Region,BM,,Urban + Other,DIN,,report,117.67278444890947
FU,FU,CHANGE,Region,BM,,Bananas,FS,,report,0.0
FU,FU,CHANGE,Region,BM,,Conservation,FS,,report,12.702284913986118
FU,FU,CHANGE,Region,BM,,Cropping,FS,,report,3.795357677863397
FU,FU,CHANGE,Region,BM,,Dairy,FS,,report,1.7813079765507942
FU,FU,CHANGE,Region,BM,,Forestry,FS,,report,9.484414376464938
FU,FU,CHANGE,Region,BM,,Grazing,FS,,report,189.5323529897644
FU,FU,CHANGE,Region,BM,,Horticulture,FS,,report,7.8785558733986205
FU,FU,CHANGE,Region,BM,,Stream,FS,,report,347.87338635375284
FU,FU,CHANGE,Region,BM,,Sugarcane,FS,,report,4.878633839550194
FU,FU,CHANGE,Region,BM,,Urban + Other,FS,,report,13.040962291076207
FU,FU,CHANGE,Region,BM,,Bananas,PN,,report,0.0
FU,FU,CHANGE,Region,BM,,Conservation,PN,,report,69.06265343451231
FU,FU,CHANGE,Region,BM,,Cropping,PN,,report,2.216211996046479
FU,FU,CHANGE,Region,BM,,Dairy,PN,,report,6.149686343424633
FU,FU,CHANGE,Region,BM,,Forestry,PN,,report,61.54306387027966
FU,FU,CHANGE,Region,BM,,Grazing,PN,,report,944.1712888284587
FU,FU,CHANGE,Region,BM,,Horticulture,PN,,report,3.7226496188678206
FU,FU,CHANGE,Region,BM,,Stream,PN,,report,405.79989080466305
FU,FU,CHANGE,Region,BM,,Sugarcane,PN,,report,53.56912972350743
FU,FU,CHANGE,Region,BM,,Urban + Other,PN,,report,5.456874373072534
FU,FU,CHANGE,Region,BM,,Bananas,PP,,report,0.0
FU,FU,CHANGE,Region,BM,,Conservation,PP,,report,26.255559532085346
FU,FU,CHANGE,Region,BM,,Cropping,PP,,report,1.1322952618566935
FU,FU,CHANGE,Region,BM,,Dairy,PP,,report,3.0865501631775545
FU,FU,CHANGE,Region,BM,,Forestry,PP,,report,17.085234295115903
FU,FU,CHANGE,Region,BM,,Grazing,PP,,report,318.9419190977054
FU,FU,CHANGE,Region,BM,,Horticulture,PP,,report,1.6632129183414077
FU,FU,CHANGE,Region,BM,,Stream,PP,,report,193.4227345213359
