Source,MetricType,Scenario,Scale,Region,Basin,FU,Constituent,Process,Units,Value
FU,FU,ANTHROPOGENIC,GBR,,,Bananas,DIN,,report,655.7580926355784
FU,FU,ANTHROPOGENIC,GBR,,,Conservation,DIN,,report,-6.242609819390509
FU,FU,ANTHROPOGENIC,GBR,,,Cropping,DIN,,report,118.89091594152819
FU,FU,ANTHROPOGENIC,GBR,,,Dairy,DIN,,report,13.286324733117752
FU,FU,ANTHROPOGENIC,GBR,,,Forestry,DIN,,report,52.10882357288662
FU,FU,ANTHROPOGENIC,GBR,,,Grazing,DIN,,report,366.8971703233351
FU,FU,ANTHROPOGENIC,GBR,,,Horticulture,DIN,,report,161.79333516791084
FU,FU,ANTHROPOGENIC,GBR,,,Stream,DIN,,report,188.90081489041953
FU,FU,ANTHROPOGENIC,GBR,,,Sugarcane,DIN,,report,3124.4849593392687
FU,FU,ANTHROPOGENIC,GBR,,,Urban + Other,DIN,,report,335.34448052973505
FU,FU,ANTHROPOGENIC,GBR,,,Bananas,FS,,report,6.690070355234227
FU,FU,ANTHROPOGENIC,GBR,,,Conservation,FS,,report,228.8858224990421
FU,FU,ANTHROPOGENIC,GBR,,,Cropping,FS,,report,98.6664749187163
FU,FU,ANTHROPOGENIC,GBR,,,Dairy,FS,,report,9.929130670095594
FU,FU,ANTHROPOGENIC,GBR,,,Forestry,FS,,report,30.837464707700057
FU,FU,ANTHROPOGENIC,GBR,,,Grazing,FS,,report,3943.3839299552396
FU,FU,ANTHROPOGENIC,GBR,,,Horticulture,FS,,report,40.79942277071744
FU,FU,ANTHROPOGENIC,GBR,,,Stream,FS,,report,1239.9163670782236
FU,FU,ANTHROPOGENIC,GBR,,,Sugarcane,FS,,report,109.96724634520943
FU,FU,ANTHROPOGENIC,GBR,,,Urban + Other,FS,,report,55.94106750239692
FU,FU,ANTHROPOGENIC,GBR,,,Bananas,PN,,report,38.43389883164476
FU,FU,ANTHROPOGENIC,GBR,,,Conservation,PN,,report,167.72911762259264
FU,FU,ANTHROPOGENIC,GBR,,,Cropping,PN,,report,427.0440706100109
FU,FU,ANTHROPOGENIC,GBR,,,Dairy,PN,,report,70.19737477176956
FU,FU,ANTHROPOGENIC,GBR,,,Forestry,PN,,report,21.487952662755276
FU,FU,ANTHROPOGENIC,GBR,,,Grazing,PN,,report,7252.116241031305
FU,FU,ANTHROPOGENIC,GBR,,,Horticulture,PN,,report,74.17858011015781
FU,FU,ANTHROPOGENIC,GBR,,,Stream,PN,,report,1564.3323928485124
FU,FU,ANTHROPOGENIC,GBR,,,Sugarcane,PN,,report,1139.1298383793269
FU,FU,ANTHROPOGENIC,GBR,,,Urban + Other,PN,,report,55.09409035867123
FU,FU,ANTHROPOGENIC,GBR,,,Bananas,PP,,report,32.66250550013394
FU,FU,ANTHROPOGENIC,GBR,,,Conservation,PP,,report,86.07865665161603
FU,FU,ANTHROPOGENIC,GBR,,,Cropping,PP,,report,173.3040278121642
FU,FU,ANTHROPOGENIC,GBR,,,Dairy,PP,,report,31.589589401633734
FU,FU,ANTHROPOGENIC,GBR,,,Forestry,PP,,report,10.46300439924299
FU,FU,ANTHROPOGENIC,GBR,,,Grazing,PP,,report,3446.1534425145483
FU,FU,ANTHROPOGENIC,GBR,,,Horticulture,PP,,report,37.85708714637209
FU,FU,ANTHROPOGENIC,GBR,,,Stream,PP,,report,905.4706172220718
FU,FU,ANTHROPOGENIC,GBR,,,Sugarcane,PP,,report,253.9456170200028
FU,FU,ANTHROPOGENIC,GBR,,,Urban + Other,PP,,report,18.3339405091763
FU,FU,BASE,GBR,,,Bananas,DIN,,report,671.0366040129064
FU,FU,BASE,GBR,,,Conservation,DIN,,report,1740.93011042808
FU,FU,BASE,GBR,,,Cropping,DIN,,report,136.15181600229036
FU,FU,BASE,GBR,,,Dairy,DIN,,report,18.538813867639103
FU,FU,BASE,GBR,,,Forestry,DIN,,report,239.6654308780441
FU,FU,BASE,GBR,,,Grazing,DIN,,report,2353.7785083126573
FU,FU,BASE,GBR,,,Horticulture,DIN,,report,174.60763367835813
FU,FU,BASE,GBR,,,Stream,DIN,,report,188.90081489041953
FU,FU,BASE,GBR,,,Sugarcane,DIN,,report,3333.155755264661
FU,FU,BASE,GBR,,,Urban + Other,DIN,,report,437.1871324313666
FU,FU,BASE,GBR,,,Bananas,FS,,report,7.324460073688767
FU,FU,BASE,GBR,,,Conservation,FS,,report,888.0547216259314
FU,FU,BASE,GBR,,,Cropping,FS,,report,99.80485895615267
FU,FU,BASE,GBR,,,Dairy,FS,,report,10.351830824096572
FU,FU,BASE,GBR,,,Forestry,FS,,report,83.57816576537267
FU,FU,BASE,GBR,,,Grazing,FS,,report,4393.10020687869
FU,FU,BASE,GBR,,,Horticulture,FS,,report,42.751043214074684
FU,FU,BASE,GBR,,,Stream,FS,,report,1897.8374469148725
FU,FU,BASE,GBR,,,Sugarcane,FS,,report,119.34573888233182
FU,FU,BASE,GBR,,,Urban + Other,FS,,report,67.28758039551032
FU,FU,BASE,GBR,,,Bananas,PN,,report,38.58358604712525
FU,FU,BASE,GBR,,,Conservation,PN,,report,4686.547081714216
FU,FU,BASE,GBR,,,Cropping,PN,,report,429.8371724753187
FU,FU,BASE,GBR,,,Dairy,PN,,report,72.95474696438471
FU,FU,BASE,GBR,,,Forestry,PN,,report,396.2976917925974
FU,FU,BASE,GBR,,,Grazing,PN,,report,8692.353378322548
FU,FU,BASE,GBR,,,Horticulture,PN,,report,75.62317531289301
FU,FU,BASE,GBR,,,Stream,PN,,report,2351.6053364308323
FU,FU,BASE,GBR,,,Sugarcane,PN,,report,1152.9440322368298
FU,FU,BASE,GBR,,,Urban + Other,PN,,report,67.63575219109575
FU,FU,BASE,GBR,,,Bananas,PP,,report,32.66250550013394
FU,FU,BASE,GBR,,,Conservation,PP,,report,1181.1813760871482
FU,FU,BASE,GBR,,,Cropping,PP,,report,174.7049981863196
FU,FU,BASE,GBR,,,Dairy,PP,,report,32.87094984804134
FU,FU,BASE,GBR,,,Forestry,PP,,report,129.73213755766193
FU,FU,BASE,GBR,,,Grazing,PP,,report,4200.784441663612
FU,FU,BASE,GBR,,,Horticulture,PP,,report,38.748406793623786
FU,FU,BASE,GBR,,,Stream,PP,,report,1356.5012854387276
FU,FU,BASE,GBR,,,Sugarcane,PP,,report,267.2955876953052
FU,FU,BASE,GBR,,,Urban + Other,PP,,report,23.72517209180274
FU,FU,CHANGE,GBR,,,Bananas,DIN,,report,616.4881640459724
FU,FU,CHANGE,GBR,,,Conservation,DIN,,report,1741.2282279960264
FU,FU,CHANGE,GBR,,,Cropping,DIN,,report,136.20512629524757
FU,FU,CHANGE,GBR,,,Dairy,DIN,,report,18.537635907866203
FU,FU,CHANGE,GBR,,,Forestry,DIN,,report,239.7120795808185
FU,FU,CHANGE,GBR,,,Grazing,DIN,,report,2354.9383608881017
FU,FU,CHANGE,GBR,,,Horticulture,DIN,,report,174.61474434868794
FU,FU,CHANGE,GBR,,,Stream,DIN,,report,188.91715950795182
FU,FU,CHANGE,GBR,,,Sugarcane,DIN,,report,3199.558357587086
FU,FU,CHANGE,GBR,,,Urban + Other,DIN,,report,437.1839967110171
FU,FU,CHANGE,GBR,,,Bananas,FS,,report,7.0146654077558575
FU,FU,CHANGE,GBR,,,Conservation,FS,,report,887.5967011442177
FU,FU,CHANGE,GBR,,,Cropping,FS,,report,95.6168558310741
FU,FU,CHANGE,GBR,,,Dairy,FS,,report,10.366216464605388
FU,FU,CHANGE,GBR,,,Forestry,FS,,report,83.27339114293156
FU,FU,CHANGE,GBR,,,Grazing,FS,,report,4365.486252933503
FU,FU,CHANGE,GBR,,,Horticulture,FS,,report,42.75992011067672
FU,FU,CHANGE,GBR,,,Stream,FS,,report,1829.754150967294
FU,FU,CHANGE,GBR,,,Sugarcane,FS,,report,116.58472607893083
FU,FU,CHANGE,GBR,,,Urban + Other,FS,,report,67.35525243475313
FU,FU,CHANGE,GBR,,,Bananas,PN,,report,36.611292224644316
FU,FU,CHANGE,GBR,,,Conservation,PN,,report,4685.537304651231
FU,FU,CHANGE,GBR,,,Cropping,PN,,report,407.18623468201696
FU,FU,CHANGE,GBR,,,Dairy,PN,,report,72.99690269753249
FU,FU,CHANGE,GBR,,,Forestry,PN,,report,394.47575348252525
FU,FU,CHANGE,GBR,,,Grazing,PN,,report,8635.23684049289
FU,FU,CHANGE,GBR,,,Horticulture,PN,,report,75.62769334456536
FU,FU,CHANGE,GBR,,,Stream,PN,,report,2225.219505408603
FU,FU,CHANGE,GBR,,,Sugarcane,PN,,report,1129.3917713622643
FU,FU,CHANGE,GBR,,,Urban + Other,PN,,report,67.6872887830863
FU,FU,CHANGE,GBR,,,Bananas,PP,,report,31.874245535477414
FU,FU,CHANGE,GBR,,,Conservation,PP,,report,1180.2767659427093
FU,FU,CHANGE,GBR,,,Cropping,PP,,report,167.69406132573144
FU,FU,CHANGE,GBR,,,Dairy,PP,,report,32.89454705854402
FU,FU,CHANGE,GBR,,,Forestry,PP,,report,127.86159211804811
FU,FU,CHANGE,GBR,,,Grazing,PP,,report,4157.682478710645
FU,FU,CHANGE,GBR,,,Horticulture,PP,,report,38.74987823804567
FU,FU,CHANGE,GBR,,,Stream,PP,,report,1298.8936639312794
FU,FU,CHANGE,GBR,,,Sugarcane,PP,,report,263.03813225886756
FU,FU,CHANGE,GBR,,,Urban + Other,PP,,report,23.747813293499078
FU,FU,PERCENT_REDUCTION,GBR,,,Bananas,DIN,,report,8.318378466012764
FU,FU,PERCENT_REDUCTION,GBR,,,Conservation,DIN,,report,4.775527809223204
FU,FU,PERCENT_REDUCTION,GBR,,,Cropping,DIN,,report,-0.04483966881323822
FU,FU,PERCENT_REDUCTION,GBR,,,Dairy,DIN,,report,0.008865956512137464
FU,FU,PERCENT_REDUCTION,GBR,,,Forestry,DIN,,report,-0.08952169628077632
FU,FU,PERCENT_REDUCTION,GBR,,,Grazing,DIN,,report,-0.3161246990327576
FU,FU,PERCENT_REDUCTION,GBR,,,Horticulture,DIN,,report,-0.0043949092973631886
FU,FU,PERCENT_REDUCTION,GBR,,,Stream,DIN,,report,-0.008652486513506502
FU,FU,PERCENT_REDUCTION,GBR,,,Sugarcane,DIN,,report,4.275821436689732
FU,FU,PERCENT_REDUCTION,GBR,,,Urban + Other,DIN,,report,0.0009350743881532259
FU,FU,PERCENT_REDUCTION,GBR,,,Bananas,FS,,report,4.630663796988777
FU,FU,PERCENT_REDUCTION,GBR,,,Conservation,FS,,report,0.20010871652637702
FU,FU,PERCENT_REDUCTION,GBR,,,Cropping,FS,,report,4.2446060108347226
FU,FU,PERCENT_REDUCTION,GBR,,,Dairy,FS,,report,-0.14488318249394155
FU,FU,PERCENT_REDUCTION,GBR,,,Forestry,FS,,report,0.9883258086551259
FU,FU,PERCENT_REDUCTION,GBR,,,Grazing,FS,,report,0.7002603458268997
FU,FU,PERCENT_REDUCTION,GBR,,,Horticulture,FS,,report,-0.02175740733372245
FU,FU,PERCENT_REDUCTION,GBR,,,Stream,FS,,report,5.490958725547925
FU,FU,PERCENT_REDUCTION,GBR,,,Sugarcane,FS,,report,2.5107592443786486
FU,FU,PERCENT_REDUCTION,GBR,,,Urban + Other,FS,,report,-0.12097023218212363
FU,FU,PERCENT_REDUCTION,GBR,,,Bananas,PN,,report,5.131651699246906
FU,FU,PERCENT_REDUCTION,GBR,,,Conservation,PN,,report,0.60202848336485
FU,FU,PERCENT_REDUCTION,GBR,,,Cropping,PN,,report,5.304121834766615
FU,FU,PERCENT_REDUCTION,GBR,,,Dairy,PN,,report,-0.060053147692259924
FU,FU,PERCENT_REDUCTION,GBR,,,Forestry,PN,,report,8.478882742654575
FU,FU,PERCENT_REDUCTION,GBR,,,Grazing,PN,,report,0.7875844226889658
FU,FU,PERCENT_REDUCTION,GBR,,,Horticulture,PN,,report,-0.0060907497361610274
FU,FU,PERCENT_REDUCTION,GBR,,,Stream,PN,,report,8.079218432093702
FU,FU,PERCENT_REDUCTION,GBR,,,Sugarcane,PN,,report,2.0675659684302516
FU,FU,PERCENT_REDUCTION,GBR,,,Urban + Other,PN,,report,-0.09354286758351661
FU,FU,PERCENT_REDUCTION,GBR,,,Bananas,PP,,report,2.413348126809479
FU,FU,PERCENT_REDUCTION,GBR,,,Conservation,PP,,report,1.0509110848466812
FU,FU,PERCENT_REDUCTION,GBR,,,Cropping,PP,,report,4.045455232112081
FU,FU,PERCENT_REDUCTION,GBR,,,Dairy,PP,,report,-0.07469932642257941
FU,FU,PERCENT_REDUCTION,GBR,,,Forestry,PP,,report,17.877708622096698
FU,FU,PERCENT_REDUCTION,GBR,,,Grazing,PP,,report,1.2507267500403678
FU,FU,PERCENT_REDUCTION,GBR,,,Horticulture,PP,,report,-0.003886840041844279
FU,FU,PERCENT_REDUCTION,GBR,,,Stream,PP,,report,6.362174587639825
FU,FU,PERCENT_REDUCTION,GBR,,,Sugarcane,PP,,report,1.6765225115510745
FU,FU,PERCENT_REDUCTION,GBR,,,Urban + Other,PP,,report,-0.12349337386038677
FU,FU,PREDEV,GBR,,,Bananas,DIN,,report,15.278511377328089
FU,FU,PREDEV,GBR,,,Conservation,DIN,,report,1747.1727202474706
FU,FU,PREDEV,GBR,,,Cropping,DIN,,report,17.26090006076216
FU,FU,PREDEV,GBR,,,Dairy,DIN,,report,5.252489134521352
FU,FU,PREDEV,GBR,,,Forestry,DIN,,report,187.55660730515748
FU,FU,PREDEV,GBR,,,Grazing,DIN,,report,1986.8813379893222
FU,FU,PREDEV,GBR,,,Horticulture,DIN,,report,12.814298510447276
FU,FU,PREDEV,GBR,,,Stream,DIN,,report,0.0
FU,FU,PREDEV,GBR,,,Sugarcane,DIN,,report,208.67079592539227
FU,FU,PREDEV,GBR,,,Urban + Other,DIN,,report,101.84265190163153
FU,FU,PREDEV,GBR,,,Bananas,FS,,report,0.6343897184545403
FU,FU,PREDEV,GBR,,,Conservation,FS,,report,659.1688991268893
FU,FU,PREDEV,GBR,,,Cropping,FS,,report,1.1383840374363736
FU,FU,PREDEV,GBR,,,Dairy,FS,,report,0.42270015400097793
FU,FU,PREDEV,GBR,,,Forestry,FS,,report,52.74070105767262
FU,FU,PREDEV,GBR,,,Grazing,FS,,report,449.7162769234506
FU,FU,PREDEV,GBR,,,Horticulture,FS,,report,1.9516204433572413
FU,FU,PREDEV,GBR,,,Stream,FS,,report,657.9210798366488
FU,FU,PREDEV,GBR,,,Sugarcane,FS,,report,9.378492537122382
FU,FU,PREDEV,GBR,,,Urban + Other,FS,,report,11.3465128931134
FU,FU,PREDEV,GBR,,,Bananas,PN,,report,0.14968721548048944
FU,FU,PREDEV,GBR,,,Conservation,PN,,report,4518.817964091623
FU,FU,PREDEV,GBR,,,Cropping,PN,,report,2.7931018653077944
FU,FU,PREDEV,GBR,,,Dairy,PN,,report,2.7573721926151533
FU,FU,PREDEV,GBR,,,Forestry,PN,,report,374.8097391298421
FU,FU,PREDEV,GBR,,,Grazing,PN,,report,1440.2371372912432
FU,FU,PREDEV,GBR,,,Horticulture,PN,,report,1.4445952027351991
FU,FU,PREDEV,GBR,,,Stream,PN,,report,787.2729435823198
FU,FU,PREDEV,GBR,,,Sugarcane,PN,,report,13.81419385750302
FU,FU,PREDEV,GBR,,,Urban + Other,PN,,report,12.541661832424516
FU,FU,PREDEV,GBR,,,Bananas,PP,,report,0.0
FU,FU,PREDEV,GBR,,,Conservation,PP,,report,1095.1027194355322
FU,FU,PREDEV,GBR,,,Cropping,PP,,report,1.4009703741553987
FU,FU,PREDEV,GBR,,,Dairy,PP,,report,1.2813604464076074
FU,FU,PREDEV,GBR,,,Forestry,PP,,report,119.26913315841894
FU,FU,PREDEV,GBR,,,Grazing,PP,,report,754.6309991490632
FU,FU,PREDEV,GBR,,,Horticulture,PP,,report,0.8913196472517017
FU,FU,PREDEV,GBR,,,Stream,PP,,report,451.0306682166557
FU,FU,PREDEV,GBR,,,Sugarcane,PP,,report,13.349970675302394
FU,FU,PREDEV,GBR,,,Urban + Other,PP,,report,5.39123158262644
FU,FU,REDUCTION,GBR,,,Bananas,DIN,,report,54.548439966933984
FU,FU,REDUCTION,GBR,,,Conservation,DIN,,report,-0.2981175679462922
FU,FU,REDUCTION,GBR,,,Cropping,DIN,,report,-0.053310292957206684
FU,FU,REDUCTION,GBR,,,Dairy,DIN,,report,0.0011779597728995839
FU,FU,REDUCTION,GBR,,,Forestry,DIN,,report,-0.04664870277440514
FU,FU,REDUCTION,GBR,,,Grazing,DIN,,report,-1.1598525754443472
FU,FU,REDUCTION,GBR,,,Horticulture,DIN,,report,-0.0071106703298084994
FU,FU,REDUCTION,GBR,,,Stream,DIN,,report,-0.016344617532297434
FU,FU,REDUCTION,GBR,,,Sugarcane,DIN,,report,133.59739767757492
FU,FU,REDUCTION,GBR,,,Urban + Other,DIN,,report,0.0031357203495190333
FU,FU,REDUCTION,GBR,,,Bananas,FS,,report,0.30979466593290983
FU,FU,REDUCTION,GBR,,,Conservation,FS,,report,0.4580204817136746
FU,FU,REDUCTION,GBR,,,Cropping,FS,,report,4.188003125078566
FU,FU,REDUCTION,GBR,,,Dairy,FS,,report,-0.014385640508816522
FU,FU,REDUCTION,GBR,,,Forestry,FS,,report,0.30477462244111564
FU,FU,REDUCTION,GBR,,,Grazing,FS,,report,27.61395394518695
FU,FU,REDUCTION,GBR,,,Horticulture,FS,,report,-0.008876896602032502
FU,FU,REDUCTION,GBR,,,Stream,FS,,report,68.08329594757856
FU,FU,REDUCTION,GBR,,,Sugarcane,FS,,report,2.7610128034009875
FU,FU,REDUCTION,GBR,,,Urban + Other,FS,,report,-0.06767203924280807
FU,FU,REDUCTION,GBR,,,Bananas,PN,,report,1.9722938224809354
FU,FU,REDUCTION,GBR,,,Conservation,PN,,report,1.00977706298454
FU,FU,REDUCTION,GBR,,,Cropping,PN,,report,22.65093779330175
FU,FU,REDUCTION,GBR,,,Dairy,PN,,report,-0.042155733147779983
FU,FU,REDUCTION,GBR,,,Forestry,PN,,report,1.8219383100721416
FU,FU,REDUCTION,GBR,,,Grazing,PN,,report,57.11653782965914
FU,FU,REDUCTION,GBR,,,Horticulture,PN,,report,-0.004518031672347433
FU,FU,REDUCTION,GBR,,,Stream,PN,,report,126.38583102222947
FU,FU,REDUCTION,GBR,,,Sugarcane,PN,,report,23.55226087456549
FU,FU,REDUCTION,GBR,,,Urban + Other,PN,,report,-0.051536591990554825
FU,FU,REDUCTION,GBR,,,Bananas,PP,,report,0.7882599646565254
FU,FU,REDUCTION,GBR,,,Conservation,PP,,report,0.9046101444389478
FU,FU,REDUCTION,GBR,,,Cropping,PP,,report,7.010936860588174
FU,FU,REDUCTION,GBR,,,Dairy,PP,,report,-0.023597210502678934
FU,FU,REDUCTION,GBR,,,Forestry,PP,,report,1.8705454396138208
FU,FU,REDUCTION,GBR,,,Grazing,PP,,report,43.10196295296646
FU,FU,REDUCTION,GBR,,,Horticulture,PP,,report,-0.001471444421881074
FU,FU,REDUCTION,GBR,,,Stream,PP,,report,57.60762150744813
FU,FU,REDUCTION,GBR,,,Sugarcane,PP,,report,4.257455436437624
FU,FU,REDUCTION,GBR,,,Urban + Other,PP,,report,-0.022641201696337987
PROCESS,PROCESS,BASE,GBR,,,,DIN,PointSource,report,5667024.446712586
PROCESS,PROCESS,BASE,GBR,,,,DIN,Seepage,report,100970510.36107661
PROCESS,PROCESS,BASE,GBR,,,,DIN,SurfaceRunoff,report,172181043.78520346
PROCESS,PROCESS,BASE,GBR,,,,FS,ChannelRemobilisation,report,0.0
PROCESS,PROCESS,BASE,GBR,,,,FS,Gully,report,114987353525.27719
PROCESS,PROCESS,BASE,GBR,,,,FS,Hillslope,report,56360604673.198296
PROCESS,PROCESS,BASE,GBR,,,,FS,Streambank,report,56935123407.446175
PROCESS,PROCESS,BASE,GBR,,,,PN,ChannelRemobilisation,report,0.0
PROCESS,PROCESS,BASE,GBR,,,,PN,Gully,report,115595455.37377328
PROCESS,PROCESS,BASE,GBR,,,,PN,Hillslope,report,352787843.13793695
PROCESS,PROCESS,BASE,GBR,,,,PN,Streambank,report,70548160.09292497
PROCESS,PROCESS,BASE,GBR,,,,PP,ChannelRemobilisation,report,0.0
PROCESS,PROCESS,BASE,GBR,,,,PP,Gully,report,73627828.89889617
PROCESS,PROCESS,BASE,GBR,,,,PP,Hillslope,report,108823338.3638133
PROCESS,PROCESS,BASE,GBR,,,,PP,Streambank,report,40695038.56316183
